classid;cbo;dit;fanIn;fanOut;lcom;noc;numberOfAttributes;numberOfAttributesInherited;numberOfLinesOfCode;numberOfMethods;numberOfMethodsInherited;numberOfPrivateAttributes;numberOfPrivateMethods;numberOfPublicAttributes;numberOfPublicMethods;rfc;wmc
764;3;1;2;1;3;0;1;0;13;3;8;0;0;0;2;4;4
765;3;7;1;2;3;0;4;419;17;3;115;0;0;4;3;8;4
766;12;5;3;9;55;1;0;68;67;11;199;0;0;0;7;41;19
767;24;1;6;19;325;0;4;0;281;26;8;4;7;0;16;150;74
768;3;2;1;2;3;0;1;8;25;3;19;0;0;1;3;8;8
769;4;5;4;0;36;2;3;384;34;9;85;0;0;3;9;9;11
770;8;3;1;8;210;0;9;97;141;21;84;4;0;0;8;78;36
771;20;3;1;20;78;0;1;69;274;13;37;0;0;0;2;89;100
772;21;6;3;19;78;1;0;69;120;13;216;0;0;0;10;67;34
773;35;2;4;34;741;0;7;0;1106;39;43;1;1;6;2;369;331
774;3;3;1;2;3;0;1;58;15;3;37;0;0;0;0;9;5
775;2;4;1;1;6;0;4;384;23;4;41;1;0;1;4;10;5
776;8;3;4;4;91;0;6;95;107;14;76;3;0;1;5;53;27
777;15;2;2;15;28;0;9;18;190;8;62;0;2;9;3;73;46
778;2;1;1;1;3;1;6;0;19;3;8;0;0;0;1;4;3
779;66;2;56;19;1540;4;9;28;724;56;16;0;0;9;54;244;235
780;38;1;3;35;120;0;10;0;629;16;9;8;10;2;5;174;150
781;14;7;2;12;45;1;1;387;244;10;101;0;1;1;8;91;61
782;3;2;1;2;3;0;4;8;79;3;19;0;0;4;3;19;11
783;7;2;4;3;21;0;5;1;71;7;12;0;1;0;6;24;19
784;37;4;7;33;666;1;9;49;947;37;148;0;6;0;24;297;293
785;9;5;1;9;78;0;0;57;129;13;202;0;0;0;12;78;33
786;16;2;1;15;55;0;4;18;281;11;62;0;3;3;4;78;37
787;44;2;21;28;406;0;13;262;687;29;80;5;5;8;10;280;226
788;2;2;2;0;0;0;0;2;3;1;33;0;0;0;1;1;1
789;24;2;19;6;703;1;12;8;1440;38;46;0;0;9;37;84;342
790;3;3;1;2;3;0;2;1;11;3;31;2;0;0;2;5;3
791;3;5;1;2;3;0;2;387;17;3;75;0;0;2;3;10;4
792;11;1;1;10;36;0;2;12;198;9;11;0;3;2;5;65;66
793;2;1;2;0;0;0;1;0;3;1;23;1;0;0;1;1;1
794;11;2;3;8;28;0;7;219;796;8;55;0;0;6;8;104;260
795;1;5;1;0;3;5;1;384;11;3;76;0;0;1;3;3;3
796;2;3;1;1;1;0;0;387;12;2;32;0;0;0;2;7;4
797;0;1;0;0;1;2;3;0;3;2;8;0;0;2;2;2;1
798;9;6;2;7;15;1;3;386;48;6;95;0;1;3;3;27;14
799;7;2;0;7;190;0;2;6;87;20;30;2;0;0;19;47;29
